Campo,Valores Distintos
arima_order,"0, 1, 2, 5"
data_hora,"2024-08-11 17:43:31.504000, 2024-10-19 14:06:23.607000, 2024-12-12 13:22:38.883000, 2024-12-13 07:06:56.559000, 2024-12-13 08:39:38.881000, 2024-12-13 08:41:31.708000, 2024-12-13 08:51:26.266000, 2024-12-13 08:53:17.633000, 2024-12-13 08:55:32.431000"
dates,None
exog,None
freq,"None, H"
freq_resample,H
hostname,DESKTOP-2G425B8
interpolacao,True
missing,"fill, none"
nome_modelagem,arima_es_statsmodels
quantidade_dados_utilizados,"156439, 157735"
tempo_armazenamento_segundos,"2.115268, 2.142312, 2.169906, 2.177239, 2.197953, 2.587041, 2.598457, 2.689427, 2.842424"
tempo_modelagem_segundos,"71.452407, 71.886264, 106.577379, 106.792995, 108.079422, 108.657173, 125.758649, 130.63597, 133.958461"
tipo_modelagem,temporal
es_bounds,None
es_damped_trend,False
es_dates,None
es_freq,None
es_initial_level,None
es_initial_seasonal,None
es_initial_trend,None
es_initialization_method,estimated
es_missing,none
es_seasonal,add
es_seasonal_periods,24
es_trend,add
es_use_boxcox,False
